EventCode,EventType,RecordNumber,_time,action,anonymized_ComputerName,dest,source,sourcetype,src,user
4624,0,240841870,2016-08-21T22:29:05.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,chuck
4624,0,142220732,2016-08-22T04:30:04.000+05:30,success,anon_ComputerName_14,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,chuck
4624,0,142314597,2016-08-22T17:01:05.000+05:30,success,anon_ComputerName_14,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,chuck
4768,0,142316567,2016-08-22T17:19:05.000+05:30,success,anon_ComputerName_14,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,chuck
4768,0,69444148,2016-08-23T02:30:39.000+05:30,success,anon_ComputerName_25,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,chuck
4624,0,142612721,2016-08-23T05:30:03.000+05:30,success,anon_ComputerName_14,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,chuck
4624,0,121450705,2016-08-23T10:24:11.000+05:30,success,anon_ComputerName_11,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,bob
4624,0,142750650,2016-08-23T20:23:59.000+05:30,success,anon_ComputerName_14,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,chuck
4624,0,2489912238,2016-08-23T21:16:31.000+05:30,success,anon_ComputerName_17,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,chuck
4624,0,143001078,2016-08-24T03:56:36.000+05:30,success,anon_ComputerName_14,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4624,0,1004464554,2016-08-24T03:56:41.000+05:30,success,anon_ComputerName_18,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4624,0,121794152,2016-08-24T04:44:51.000+05:30,success,anon_ComputerName_11,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,bob
4768,0,143222291,2016-08-24T17:28:15.000+05:30,success,anon_ComputerName_14,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,chuck
4768,0,118947238,2016-08-24T17:29:37.000+05:30,success,anon_ComputerName_12,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,chuck
4768,0,122135231,2016-08-24T22:06:39.000+05:30,success,anon_ComputerName_11,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,chuck
4648,0,551958303,2016-08-25T02:27:15.000+05:30,success,anon_ComputerName_15,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,chuck
4648,0,242028623,2016-08-25T06:04:42.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4648,0,242107398,2016-08-25T11:04:53.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4648,0,242107581,2016-08-25T11:05:05.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,bob
4648,0,242109587,2016-08-25T11:07:28.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
4648,0,242111917,2016-08-25T11:10:30.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4648,0,1005570065,2016-08-25T20:48:36.000+05:30,success,anon_ComputerName_18,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
4648,0,1005573166,2016-08-25T20:51:52.000+05:30,success,anon_ComputerName_18,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
4624,0,1005724402,2016-08-26T00:42:34.000+05:30,success,anon_ComputerName_18,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,bob
4624,0,143992010,2016-08-26T06:11:05.000+05:30,success,anon_ComputerName_14,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,chuck
4648,0,242676998,2016-08-27T00:19:57.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,bob
4648,0,242684314,2016-08-27T00:32:46.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,bob
4648,0,2495993044,2016-08-27T00:38:19.000+05:30,success,anon_ComputerName_17,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
4624,0,242690057,2016-08-27T00:44:10.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,bob
4624,0,242690163,2016-08-27T00:44:23.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,bob
4648,0,2496004734,2016-08-27T00:44:29.000+05:30,success,anon_ComputerName_17,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4648,0,2496004962,2016-08-27T00:44:37.000+05:30,success,anon_ComputerName_17,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4648,0,2496005418,2016-08-27T00:44:47.000+05:30,success,anon_ComputerName_17,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4648,0,1006329646,2016-08-27T00:54:27.000+05:30,success,anon_ComputerName_18,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
4624,0,242696888,2016-08-27T00:56:19.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,bob
4648,0,242698976,2016-08-27T01:00:04.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
4648,0,1006335352,2016-08-27T01:00:36.000+05:30,success,anon_ComputerName_18,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
4624,0,242700543,2016-08-27T01:02:27.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.101,bob
4624,0,242700831,2016-08-27T01:02:46.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4648,0,242707880,2016-08-27T01:14:29.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4624,0,242710082,2016-08-27T01:18:41.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4624,0,242724535,2016-08-27T01:46:19.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
4624,0,242724609,2016-08-27T01:46:29.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
4624,0,242725711,2016-08-27T01:48:29.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4624,0,242726682,2016-08-27T01:50:04.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
4624,0,242733683,2016-08-27T02:02:04.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.103,bob
4624,0,242737252,2016-08-27T02:08:36.000+05:30,success,anon_ComputerName_19,host_11,WinEventLog:Security,WinEventLog:Security,10.17.0.102,bob
